
── Step 12b: TE Nested-Walk-Forward-Tuned LightGBM ─────────────────────────────
ℹ Grid: 32 combos per component per fold (eff and vol tuned separately)
ℹ Inner split: last 20% season-weeks as RMSE holdout
ℹ Construction: FROZEN Mechanism A power-law (identical to 3A/3A-v2)
ℹ Rubric: FROZEN (unchanged veto, decision rule, fold_map)
✔ TE feature table: 6765 rows | Fold map: 204 folds | Expected test rows: 6599
✔ All model features present in TE feature table

── Walk-forward fold loop (204 folds x 32 combos x 2 components) ───────────────
ℹ Fold 127 [2021-W13]: 30 rows | eff: leaves=63 minnode=50 lr=0.05 rds=10 | vol: leaves=7 minnode=20 lr=0.05 rds=111 | 2s
ℹ Fold 128 [2021-W14]: 33 rows | eff: leaves=63 minnode=10 lr=0.02 rds=46 | vol: leaves=7 minnode=50 lr=0.05 rds=101 | 3s
ℹ Fold 129 [2021-W15]: 31 rows | eff: leaves=31 minnode=100 lr=0.02 rds=40 | vol: leaves=7 minnode=50 lr=0.05 rds=105 | 3s
ℹ Fold 130 [2021-W16]: 34 rows | eff: leaves=15 minnode=10 lr=0.05 rds=10 | vol: leaves=7 minnode=10 lr=0.05 rds=84 | 3s
ℹ Fold 131 [2021-W17]: 29 rows | eff: leaves=15 minnode=10 lr=0.05 rds=10 | vol: leaves=7 minnode=10 lr=0.05 rds=82 | 3s
ℹ Fold 132 [2021-W18]: 33 rows | eff: leaves=7 minnode=100 lr=0.02 rds=24 | vol: leaves=7 minnode=100 lr=0.05 rds=94 | 3s
ℹ Fold 133 [2022-W01]: 31 rows | eff: leaves=63 minnode=50 lr=0.05 rds=10 | vol: leaves=7 minnode=100 lr=0.02 rds=160 | 3s
ℹ Fold 134 [2022-W02]: 34 rows | eff: leaves=31 minnode=20 lr=0.02 rds=10 | vol: leaves=7 minnode=100 lr=0.05 rds=70 | 3s
ℹ Fold 135 [2022-W03]: 35 rows | eff: leaves=63 minnode=10 lr=0.05 rds=10 | vol: leaves=7 minnode=50 lr=0.02 rds=197 | 3s
ℹ Fold 136 [2022-W04]: 37 rows | eff: leaves=63 minnode=10 lr=0.05 rds=10 | vol: leaves=7 minnode=50 lr=0.02 rds=197 | 3s
ℹ Fold 137 [2022-W05]: 28 rows | eff: leaves=15 minnode=20 lr=0.02 rds=10 | vol: leaves=7 minnode=100 lr=0.05 rds=88 | 3s
ℹ Fold 138 [2022-W06]: 34 rows | eff: leaves=15 minnode=100 lr=0.02 rds=10 | vol: leaves=7 minnode=100 lr=0.02 rds=173 | 3s
ℹ Fold 139 [2022-W07]: 27 rows | eff: leaves=7 minnode=20 lr=0.05 rds=17 | vol: leaves=7 minnode=100 lr=0.02 rds=180 | 3s
ℹ Fold 140 [2022-W08]: 27 rows | eff: leaves=63 minnode=10 lr=0.05 rds=10 | vol: leaves=7 minnode=20 lr=0.05 rds=83 | 3s
ℹ Fold 141 [2022-W09]: 26 rows | eff: leaves=63 minnode=10 lr=0.05 rds=10 | vol: leaves=7 minnode=20 lr=0.05 rds=83 | 3s
ℹ Fold 142 [2022-W10]: 26 rows | eff: leaves=7 minnode=10 lr=0.02 rds=93 | vol: leaves=7 minnode=50 lr=0.05 rds=76 | 3s
ℹ Fold 143 [2022-W11]: 30 rows | eff: leaves=15 minnode=100 lr=0.02 rds=10 | vol: leaves=7 minnode=100 lr=0.02 rds=188 | 3s
ℹ Fold 144 [2022-W12]: 32 rows | eff: leaves=31 minnode=100 lr=0.02 rds=10 | vol: leaves=7 minnode=100 lr=0.05 rds=138 | 3s
ℹ Fold 145 [2022-W13]: 31 rows | eff: leaves=15 minnode=100 lr=0.05 rds=13 | vol: leaves=7 minnode=100 lr=0.05 rds=65 | 3s
ℹ Fold 146 [2022-W14]: 25 rows | eff: leaves=31 minnode=100 lr=0.05 rds=17 | vol: leaves=7 minnode=100 lr=0.02 rds=207 | 3s
ℹ Fold 147 [2022-W15]: 30 rows | eff: leaves=31 minnode=100 lr=0.02 rds=18 | vol: leaves=7 minnode=100 lr=0.02 rds=190 | 3s
ℹ Fold 148 [2022-W16]: 33 rows | eff: leaves=31 minnode=100 lr=0.02 rds=14 | vol: leaves=7 minnode=100 lr=0.05 rds=96 | 3s
ℹ Fold 149 [2022-W17]: 37 rows | eff: leaves=63 minnode=10 lr=0.05 rds=10 | vol: leaves=7 minnode=100 lr=0.02 rds=151 | 3s
ℹ Fold 150 [2022-W18]: 32 rows | eff: leaves=63 minnode=50 lr=0.02 rds=42 | vol: leaves=7 minnode=100 lr=0.05 rds=90 | 3s
ℹ Fold 151 [2023-W01]: 33 rows | eff: leaves=63 minnode=50 lr=0.02 rds=12 | vol: leaves=7 minnode=100 lr=0.05 rds=90 | 3s
