gsis_id,esb_id,pfr_id,nfl_name,dm_name,pos,school,draft_round,draft_pick,draft_team,pred,pred_uncertainty,p_boom,p_bust,p_expected,model_verdict,match_method,gsis_provisional
00-0041523,DOU210628,DougCa00,Caleb Douglas,Caleb Douglas,WR,Texas Tech,3,75,MIA,-0.007807199377566576,0.9910181270537508,0.1545906925038637,0.1583686111838568,0.6870406963122795,Baseline,pfr_id,FALSE
00-0041044,BRA531428,BranZa00,Zachariah Branch,Zachariah Branch,WR,Georgia,3,79,ATL,-0.022905638441443443,0.9910181270537508,0.1509947169436845,0.16207881493278925,0.6869264681235263,Baseline,pfr_id,FALSE
00-0040870,LAN311008,LaneJa01,Ja'Kobi Lane,Ja'Kobi Lane,WR,USC,3,80,BAL,-0.0673651471734047,0.9910181270537508,0.1407314271200929,0.17332998938316377,0.6859385834967433,Baseline,pfr_id,FALSE
00-0041047,BRA836631,BrazCh01,Chris Brazzell II,Chris Brazzell II,WR,Tennessee,3,83,CAR,0.029892148450016975,0.9910181270537508,0.16381464449601202,0.14934973979904345,0.6868356157049446,Baseline,name_pos,FALSE
00-0041048,HUR541377,HursTe00,Ted Hurst III,Ted Hurst,WR,Georgia State,3,84,TAM,0.0407981239259243,0.9910181270537508,0.16654830858138958,0.14680592169932122,0.6866457697192891,Baseline,name_pos,FALSE
00-0041051,THO417520,ThomZa05,Zavion Thomas,Zavion Thomas,WR,LSU,3,89,CHI,0.14998356997966766,0.9910181270537508,0.19552344590695714,0.12294173367510482,0.681534820417938,Baseline,pfr_id,FALSE
00-0041525,BEL267684,BellCh00,Chris Bell,Chris Bell,WR,Louisville,3,94,MIA,-0.044782355427742004,0.9910181270537508,0.14588389166272492,0.16755428757755672,0.6865618207597183,Baseline,pfr_id,FALSE
00-0041550,THO495568,ThomBr07,Brenen Thompson,Brenen Thompson,WR,Mississippi State,4,105,LAC,-0.017425715923309326,0.9910181270537508,0.15229337401779464,0.16072571752320838,0.686980908458997,Baseline,pfr_id,FALSE
00-0040876,SAR527100,SarrEl00,Elijah Sarratt,Elijah Sarratt,WR,Indiana,4,115,BAL,-0.0972520187497139,0.9910181270537508,0.13410444289502374,0.1811661716502982,0.6847293854546781,Baseline,pfr_id,FALSE
00-0041397,WET055619,WetjKa00,Kaden Wetjen,Kaden Wetjen,WR,Iowa,4,121,PIT,0.030737752094864845,0.9910181270537508,0.1640255540515864,0.14915145675870706,0.6868229891897066,Baseline,pfr_id,FALSE
00-0041443,BEL597603,BellSk00,Skyler Bell,Skyler Bell,WR,Connecticut,4,125,BUF,-0.11509965360164642,0.9910181270537508,0.13025085189382016,0.18594988892773834,0.6837992591784415,Baseline,pfr_id,FALSE
00-0041067,LAN016345,LancBr00,Bryce Lance,Bryce Lance,WR,North Dakota State,4,136,NOR,-0.03928475081920624,0.9910181270537508,0.14715716848472854,0.16616722065263717,0.6866756108626342,Baseline,name_pos,FALSE
NA,NA,YounCo01,Colbie Young,Colbie Young,WR,Georgia,4,140,CIN,-0.14766140282154083,0.9910181270537508,0.12341916853740006,0.19487699820649018,0.6817038332561097,Baseline,pfr_id,FALSE
00-0041070,VIR271235,VirgRe00,Reggie Virgil,Reggie Virgil,WR,Texas Tech,5,143,ARI,0.035390760749578476,0.9910181270537508,0.16518925255349057,0.14806353330227226,0.6867472141442371,Baseline,name_pos,FALSE
LAW090280,LAW090280,LawxKe00,Kendrick Law,Kendrick Law,WR,Kentucky,5,168,DET,-0.08609966188669205,0.9910181270537508,0.13655179744310056,0.17821649377093016,0.6852317087859693,Baseline,name_pos,TRUE
00-0040890,ALL092954,AlleCy00,Cyrus Allen,Cyrus Allen,WR,Cincinnati,5,176,KAN,0.11821403354406357,0.9910181270537508,0.18679259442458107,0.12958633804743203,0.6836210675279869,Baseline,name_pos,FALSE
00-0041529,COL362413,ColeKe03,Kevin Coleman Jr.,Kevin Coleman,WR,Missouri,5,177,MIA,0.1776665300130844,0.9910181270537508,0.20332975047816018,0.11734973260681424,0.6793205169150256,Baseline,pfr_id,FALSE
00-0041099,BRO268113,BrowBa02,Barion Brown,Barion Brown,WR,LSU,6,190,NOR,0.0885259285569191,0.9910181270537508,0.17885562513825226,0.1360167770792681,0.6851275977824797,Baseline,pfr_id,FALSE
