nfl_name,dm_name,pos,school,draft_round,draft_pick,draft_team,model_verdict,pred,p_boom,p_bust,games,cum_fp_ppr,fp_pg,cum_opps,opps_pg,snap_share_avg,fp_per_opp,last_week_active,latest_fp_ppr,latest_opportunities,latest_snap_share,model_p_start_latest,model_p_boom_latest,tracker_status,gsis_id,pfr_id,gsis_provisional
Jadarian Price,Jadarian Price,RB,Notre Dame,1,32,SEA,Baseline,0.00180078647099435,0.1590916098549978,0.15822013464081808,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no_nfl_data_yet,00-0041512,PricJa02,FALSE
Kaelon Black,Kaelon Black,RB,Indiana,3,90,SFO,Baseline,2.5472301058471203e-4,0.1587171232750585,0.15859385225221287,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no_nfl_data_yet,00-0041052,BlacKa00,FALSE
Jonah Coleman,Jonah Coleman,RB,Washington,4,108,DEN,Baseline,0.00775065692141652,0.16053817981322197,0.15678731567197207,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no_nfl_data_yet,00-0041496,ColeJo00,FALSE
Mike Washington Jr.,Mike Washington Jr.,RB,Arkansas,4,122,LVR,Baseline,0.00168580701574683,0.15906373969163376,0.1582479078016358,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no_nfl_data_yet,00-0040878,WashMi00,FALSE
Max Bredeson,Max Bredeson,RB,Michigan,5,159,MIN,Baseline,-0.02386840619146824,0.15294894319320243,0.16449985420720198,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no_nfl_data_yet,00-0041081,BredMa00,FALSE
Emmett Johnson,Emmett Johnson,RB,Nebraska,5,161,KAN,Baseline,0.00566233787685632,0.1600294789253638,0.15728923892837027,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no_nfl_data_yet,00-0041013,JohnEm01,FALSE
Nicholas Singleton,Nicholas Singleton,RB,Penn State,5,165,TEN,Baseline,0.0012857464607805,0.15896679292211388,0.15834456691678878,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no_nfl_data_yet,00-0040886,SingNi01,FALSE
Adam Randall,Adam Randall,RB,Clemson,5,174,BAL,Baseline,-0.01920145563781261,0.15405389377480755,0.16334627401768895,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no_nfl_data_yet,00-0040888,RandAd00,FALSE
Kaytron Allen,Kaytron Allen,RB,Penn State,6,187,WAS,Baseline,0.00258613401092588,0.1592820577924559,0.15803052035180584,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no_nfl_data_yet,00-0041096,AlleKa01,FALSE
Demond Claiborne,Demond Claiborne,RB,Wake Forest,6,198,MIN,Baseline,0.00613382784649729,0.16014423857905427,0.15717582504297634,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no_nfl_data_yet,00-0041104,ClaiDe00,FALSE
Seth McGowan,Seth McGowan,RB,Kentucky,7,237,IND,Baseline,-0.00150014832615852,0.15829276020658573,0.15901874416131803,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no_nfl_data_yet,00-0041125,McGoSe01,FALSE
Jam Miller,Jam Miller,RB,Alabama,7,245,NWE,Baseline,2.536367392167449e-4,0.1587168603623786,0.1585941150312728,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,id_pending,NA,MillJa03,FALSE
Cash Jones,Cash Jones,RB,Georgia,NA,NA,ATL,Baseline,0.00359722063876688,0.1595274675417122,0.15778662337329036,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no_nfl_data_yet,00-0041191,JoneCa06,FALSE
Chip Trayanum,Chip Trayanum,RB,Toledo,NA,NA,NYJ,Baseline,0.00312573090195655,0.15941299733094108,0.15790032658895276,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no_nfl_data_yet,00-0041239,TrayCh00,FALSE
CJ Donaldson,CJ Donaldson,RB,Ohio State,NA,NA,NO,Baseline,-0.00250618136487901,0.1580498172932202,0.15926266233448833,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no_nfl_data_yet,00-0041326,DonaCJ00,FALSE
Dean Connors,Dean Connors,RB,Houston,NA,NA,LA,Baseline,0.00119397486560046,0.15894455935040877,0.15836674542383553,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no_nfl_data_yet,00-0041415,ConnDe00,FALSE
Eli Heidenreich,Eli Heidenreich,RB,Navy,NA,NA,PIT,Baseline,0.02516767382621765,0.16482194546601,0.15264226500947273,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no_nfl_data_yet,00-0041490,HeidEl00,FALSE
Jaydn Ott,Jaydn Ott,RB,Oklahoma,NA,NA,KC,Baseline,7.224853034131229e-4,0.1588303633584026,0.15848072277376038,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no_nfl_data_yet,00-0040959,OttxJa01,FALSE
J'Mari Taylor,J'Mari Taylor,RB,Virginia,NA,NA,JAX,Baseline,2.573641831986606e-4,0.15871776252514322,0.15859321332939563,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no_nfl_data_yet,00-0041217,TaylJM00,FALSE
Kentrel Bullock,Kentrel Bullock,RB,South Alabama,NA,NA,CIN,Baseline,0.00223908619955182,0.15919787978294564,0.15811429316301603,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no_nfl_data_yet,00-0041241,BullKe01,FALSE
Noah Whittington,Noah Whittington,RB,Oregon,NA,NA,HOU,Baseline,-0.00619133794680237,0.15716199503812325,0.16015824009547275,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no_nfl_data_yet,00-0041312,WhitNo00,FALSE
