player_id,posteam,defteam,game_id,rolling_epa_per_opp,wt_carry_share,wt_target_share,prior_epa_per_opp,baseline_epa_per_opp,is_cold_start,draft_tier,baseline_carry_share,baseline_target_share,player_name,form_residual,wt_team_total_plays,baseline_team_total_plays,wt_snap_share,baseline_snap_share,games_played_so_far,def_used_fallback,def_rush_epa_adj,def_short_pass_epa_adj,def_deep_pass_epa_adj,season,week,team_spread,implied_total,report_status,practice_status,own_q_int,own_practice_int,weeks_missed,return_from_absence,above_new_out_share,above_q_share,above_long_out_share
00-0038542,ATL,NYJ,2025_13_ATL_NYJ,-0.03133355406338946,0.6972210984597629,0.7883335054703873,0.06786461100555133,0.06786461100555133,FALSE,r1,0.668859649122807,0.8470588235294118,Bijan Robinson,-0.09919816506894079,60.08593298403555,68.17647058823529,0.7837429914338343,0.7535294117647059,11,FALSE,-0.10772916531157328,0.368046349020064,0,2025,13,1.5,20,NA,NA,0,3,0,0,0,0,0
00-0038597,CIN,BAL,2025_13_CIN_BAL,0.03371637619723451,0.787387896429979,0.9046733885985564,0.01699411039393229,0.01699411039393229,FALSE,r4_5,0.7371794871794872,0.6989247311827957,Chase Brown,0.016722265803302223,67.12125093321154,68.17647058823529,0.79303959850416506,0.6275,11,FALSE,-0.23404293157456332,0.27414211845666553,0.10093259611244351,2025,13,-6.5,23,NA,NA,0,3,0,0,0,0,0
00-0038611,WAS,DEN,2025_13_DEN_WAS,0.08948633114630992,0.3362653009166874,0.05392825183145399,0.2521845568642473,0.2521845568642473,FALSE,r6_udfa,0.24475524475524477,0.038461538461538464,Chris Rodriguez Jr.,-0.16269822571793735,63.69808099686374,68.88235294117646,0.28813212758750284,0.11777777777777779,11,FALSE,-0.04809994692788932,-0.6361035237740228,-0.8804540795886382,2025,13,-6.5,18.5,NA,Full Participation in Practice,0,2,1,1,0,0,0.6556242117567173
00-0038794,DEN,WAS,2025_13_DEN_WAS,-0.5423048913207366,0.21630453983395162,0.1537966537966538,-0.08752273338819262,-0.08752273338819262,FALSE,udfa,0.33933933933933935,0.26732673267326734,Jaleel McLaughlin,-0.45478215793254395,65.73793566022505,65.52941176470588,0.11621621621621622,0.281875,11,FALSE,0.011735977621584886,0.9836265609815522,0,2025,13,6.5,25,NA,NA,0,3,1,1,0,0,0
00-0039032,TEN,JAX,2025_13_JAX_TEN,-0.03692206881469901,0.3279823696638525,0.5506148663337721,-0.053326288586375385,-0.053326288586375385,FALSE,r2_3,0.3514644351464435,0.4666666666666667,Tyjae Spears,0.016404219771676373,63.89947436807043,66.3529411764706,0.4717192326683868,0.4275,11,FALSE,-0.04638094049189323,0.08079431225386023,0,2025,13,-7.5,17.5,NA,NA,0,3,0,0,0,0,0
00-0039040,MIA,NO,2025_13_NO_MIA,-0.05814981129441358,0.7092111054308805,0.8923958910611667,0.043387401603079356,0.043387401603079356,FALSE,r2_3,0.5314136125654451,0.6590909090909091,De'Von Achane,-0.10153721289749293,60.57538579765782,68.29411764705883,0.7853415427861695,0.6241176470588236,11,FALSE,-0.13041145638040152,0.3250103212064565,0,2025,13,4.5,23.5,NA,NA,0,3,1,1,0,0,0
00-0039139,DET,GB,2025_13_GB_DET,0.28744823636621886,0.6006254553707202,0.7166404341566674,0.15984713867611566,0.15984713867611566,FALSE,r1,0.5219206680584552,0.5727272727272728,Jahmyr Gibbs,0.1276010976901032,66.64276409254761,67.70588235294117,0.6523689838400624,0.5529411764705883,11,FALSE,-0.08743169440276641,0.27975825234849555,0,2025,13,-2.5,23,NA,NA,0,3,0,0,0,0,0
00-0039165,SEA,MIN,2025_13_MIN_SEA,0.20699182226564244,0.378488893334735,0.28763026341142256,-0.10012669197339792,-0.10012669197339792,FALSE,r2_3,0.4192546583850932,0.4727272727272727,Zach Charbonnet,0.30711851423904035,63.89421467825899,66.41176470588235,0.3839669790573004,0.5270588235294118,11,FALSE,-0.2273048940453937,-0.12429871099713911,0.4068395598136698,2025,13,7.5,25,NA,NA,0,3,0,0,0,0,0
00-0039361,TB,ARI,2025_13_ARI_TB,-0.08829345968596045,0.7478998799753518,0.694520064331385,0.13634068566814883,0.13634068566814883,FALSE,r4_5,0.516209476309227,0.4344262295081967,Bucky Irving,-0.22463414535410928,69.19724426633141,68.29411764705883,0.6962570117287099,0.4441176470588235,11,FALSE,-0.05890581269186703,-0.6010941861231435,0.4282073042185612,2025,13,5.5,27,Questionable,Full Participation in Practice,1,2,8,1,0,0,0
00-0039384,NYG,NE,2025_13_NYG_NE,0.06884104391196921,0.5645324491515664,0.7116964760696192,-0.10806307745506608,-0.10806307745506608,FALSE,r4_5,0.6018808777429467,0.6067415730337079,Tyrone Tracy Jr.,0.1769041213670353,70.76015915575323,67.6470588235294,0.6003977714149931,0.5735294117647058,12,FALSE,-0.0672771496386592,-0.9132293896749331,-0.20685008816728614,2025,13,-7.5,19,NA,NA,0,3,0,0,0,0,0
