position,rank,player_id,player_name,player_disp,posteam,defteam,start_pct,boom_pct,disp_vol,report_status,p_start_recal,p_boom_recal,pred_vol
TE,75,00-0038488,Brady Russell,Brady Russell,SEA,NE,18,6,4,NA,0.17916912876367283,0.05830308906284837,4.499519936740253
TE,76,00-0035644,Noah Fant,Noah Fant,NO,DET,18,7,5,NA,0.17842711825744656,0.0692358835213144,4.713281122595585
TE,77,00-0041094,Bauer Sharp,Bauer Sharp,TB,CIN,18,5,4,NA,0.17817768965006792,0.04956610774783282,4.449724213849417
TE,78,00-0039824,Jared Wiley,Jared Wiley,KC,DEN,18,7,5,NA,0.17732268661281006,0.07032964800129017,4.6117979228059465
TE,79,00-0038589,Josh Whyle,Josh Whyle,GB,MIN,18,6,5,NA,0.17730423075219195,0.05884947016740101,4.534689625735563
TE,80,00-0038643,Brayden Willis,Brayden Willis,SF,LA,18,5,5,NA,0.17713071472500633,0.0517493467846333,4.554093593530285
TE,81,00-0036825,Feleipe Franks,Feleipe Franks,CAR,CHI,18,5,5,NA,0.17685034019288673,0.05393330088542496,4.54488981273264
TE,82,00-0040058,Nick Kallerup,Nick Kallerup,SEA,NE,18,5,4,NA,0.17516589224280552,0.05284123879349835,4.449310143207126
TE,83,00-0041084,Tanner Koziol,Tanner Koziol,JAX,CLE,17,8,5,NA,0.17495329122305223,0.07744052581416133,4.565062456059478
TE,84,00-0031484,Chris Manhertz,Chris Manhertz,NYG,DAL,17,6,4,NA,0.1742532360124339,0.06212839979150592,4.44582060674306
TE,85,00-0040194,Jackson Hawes,Jackson Hawes,BUF,HOU,17,7,4,NA,0.17357010131846382,0.06540830608115675,4.472643373290509
TE,86,00-0041398,Riley Nowakowski,Riley Nowakowski,PIT,ATL,17,6,5,NA,0.17246025130866438,0.05666414667361906,4.534689625735563
TE,87,00-0037809,Chig Okonkwo,Chig Okonkwo,WAS,PHI,17,6,5,NA,0.17241470982131998,0.06103530631949193,4.860563322719934
TE,88,00-0036637,Noah Gray,Noah Gray,KC,DEN,17,6,5,NA,0.17168900255285183,0.06048880220568398,4.5521066499400575
TE,89,00-0040363,Keleki Latu,Keleki Latu,BUF,HOU,17,5,4,NA,0.17160700674201845,0.0490204181443333,4.457637045120871
TE,90,00-0036887,Luke Farrell,Luke Farrell,SF,LA,17,6,4,NA,0.17103738316757333,0.05994232758805185,4.457637045120871
TE,91,00-0040187,Mitchell Evans,Mitchell Evans,CAR,CHI,17,5,4,NA,0.17013931631118928,0.0517493467846333,4.449310143207126
TE,92,00-0036556,Brevin Jordan,Brevin Jordan,HOU,BUF,17,6,5,NA,0.16953689309746298,0.06212839979150592,4.565062456059478
