position,player_id,player_name,posteam,defteam,game_id,season,week,report_status,practice_status,thresh_start,thresh_boom,pred_vol,pred_tot,lo_80_tot,hi_80_tot,lo_90_tot,hi_90_tot,p_start,p_boom,p_start_recal,p_boom_recal,recal_method_start,recal_method_boom,kickoff_et,run_ts,as_of,run_mode
RB,00-0040583,Woody Marks,HOU,KC,2025_14_HOU_KC,2025,14,NA,Full Participation in Practice,15,20,17.717764721629855,-1.4013393670693444,-6.923806538482397,4.121127804343709,-8.645015896468912,5.842337162330223,0.3795,0.171,0.3461691664517938,0.17370603439293683,platt_vegas,platt_vegas,2025-12-08T01:20:00Z,2026-08-31 09:26:58,2025-12-03 20:15:00,hindcast
RB,00-0039391,Kimani Vidal,LAC,PHI,2025_14_PHI_LAC,2025,14,NA,NA,15,20,18.222062637338208,-1.9369110935844918,-7.545668140080249,3.6718459529112657,-9.293771807418326,5.4199496202493425,0.371,0.16,0.3360345960331791,0.16318065670672258,platt_vegas,platt_vegas,2025-12-09T01:15:00Z,2026-08-31 09:26:58,2025-12-03 20:15:00,hindcast
RB,00-0036275,D'Andre Swift,CHI,GB,2025_14_CHI_GB,2025,14,NA,NA,15,20,16.410433436713618,-1.1591833765650035,-6.452684395095194,4.134317641965187,-8.102530959465804,5.784164206335797,0.3335,0.138,0.30492532548057577,0.14142418247869695,platt_vegas,platt_vegas,2025-12-07T21:25:00Z,2026-08-31 09:26:58,2025-12-03 20:15:00,hindcast
RB,00-0037228,Jaylen Warren,PIT,BAL,2025_14_PIT_BAL,2025,14,NA,NA,15,20,15.845338181366234,-1.252256258440016,-6.444267876797763,3.939755359917731,-8.062482835240953,5.557970318360921,0.32,0.132,0.28027622627934157,0.12675105017083788,platt_vegas,platt_vegas,2025-12-07T18:00:00Z,2026-08-31 09:26:58,2025-12-03 20:15:00,hindcast
RB,00-0039165,Zach Charbonnet,SEA,ATL,2025_14_SEA_ATL,2025,14,NA,NA,15,20,12.648153907695846,0.37287683293405793,-4.211347250449846,4.957100916317961,-5.640130644993516,6.3858843108616306,0.263,0.098,0.25918133510841146,0.12190042964841445,platt_vegas,platt_vegas,2025-12-07T18:00:00Z,2026-08-31 09:26:58,2025-12-03 20:15:00,hindcast
RB,00-0037197,Isiah Pacheco,KC,HOU,2025_14_HOU_KC,2025,14,NA,Full Participation in Practice,15,20,14.310350702211558,-1.1050432315151375,-6.012872632638299,3.8027861696080243,-7.5425153865766745,5.332428923546399,0.2635,0.0935,0.2566222478207536,0.11232747288830118,platt_vegas,platt_vegas,2025-12-08T01:20:00Z,2026-08-31 09:26:58,2025-12-03 20:15:00,hindcast
RB,00-0040730,RJ Harvey,DEN,LV,2025_14_DEN_LV,2025,14,NA,NA,15,20,13.426919569299208,-0.6651447465175486,-5.403212493623635,4.0729230005885375,-6.879944956119446,5.549655463084348,0.266,0.0885,0.25100274271223394,0.10541272821105688,platt_vegas,platt_vegas,2025-12-07T21:05:00Z,2026-08-31 09:26:58,2025-12-03 20:15:00,hindcast
RB,00-0040202,Devin Neal,NO,TB,2025_14_NO_TB,2025,14,NA,NA,15,20,16.253990054694434,-1.746598582018667,-7.012161566291678,3.518964402254345,-8.653300572153634,5.1601034081163,0.297,0.113,0.24649758609630712,0.10195261191590142,platt_vegas,platt_vegas,2025-12-07T18:00:00Z,2026-08-31 09:26:58,2025-12-03 20:15:00,hindcast
RB,00-0035685,David Montgomery,DET,DAL,2025_14_DAL_DET,2025,14,NA,NA,15,20,12.035814769243354,-0.2636544707553576,-4.723910869984933,4.196601928474219,-6.114056762225489,5.586747820714774,0.2085,0.0725,0.24025168638139047,0.10653267933556071,platt_vegas,platt_vegas,2025-12-05T01:15:00Z,2026-08-31 09:26:58,2025-12-03 20:15:00,hindcast
RB,00-0035261,Tony Pollard,TEN,CLE,2025_14_TEN_CLE,2025,14,NA,Full Participation in Practice,15,20,17.267943114653246,-2.4026974281957365,-7.847263897963964,3.0418690415724914,-9.54419363372676,4.738798777335288,0.3015,0.124,0.23987184343810072,0.11017956213606105,platt_vegas,platt_vegas,2025-12-07T18:00:00Z,2026-08-31 09:26:58,2025-12-03 20:15:00,hindcast
RB,00-0037157,Bam Knight,ARI,LA,2025_14_LA_ARI,2025,14,NA,NA,15,20,15.063544814531923,-1.1564461144318539,-6.205338744257169,3.892446515393461,-7.7789472370172765,5.466055008153568,0.2675,0.106,0.23799491045450763,0.10425590854882244,platt_vegas,platt_vegas,2025-12-07T21:25:00Z,2026-08-31 09:26:58,2025-12-03 20:15:00,hindcast
RB,00-0039738,Blake Corum,LA,ARI,2025_14_LA_ARI,2025,14,NA,NA,15,20,11.492884096052652,0.10105243729527415,-4.246905495381832,4.44901036997238,-5.602050876887222,5.8041557514777695,0.2185,0.0825,0.22923557111908682,0.11097307128448547,platt_vegas,platt_vegas,2025-12-07T21:25:00Z,2026-08-31 09:26:58,2025-12-03 20:15:00,hindcast
RB,00-0037256,Rachaad White,TB,NO,2025_14_NO_TB,2025,14,NA,NA,15,20,12.669440831075798,-0.4669551305576058,-5.055439846170048,4.1215295850548355,-6.485551168944901,5.551640907829689,0.2275,0.074,0.22122297093773002,0.09216167176911653,platt_vegas,platt_vegas,2025-12-07T18:00:00Z,2026-08-31 09:26:58,2025-12-03 20:15:00,hindcast
RB,00-0040236,Kyle Monangai,CHI,GB,2025_14_CHI_GB,2025,14,NA,Full Participation in Practice,15,20,13.697819851719357,-0.8124090483763132,-5.603051148417284,3.978233051664657,-7.096169669073845,5.471351572321218,0.237,0.0885,0.21534710682866462,0.09257932250940859,platt_vegas,platt_vegas,2025-12-07T21:25:00Z,2026-08-31 09:26:58,2025-12-03 20:15:00,hindcast
