position,rank,player_id,player_name,player_disp,posteam,defteam,boom_pct,start_pct,disp_vol,boom_bar,p_boom_recal,board
RB,423,00-0037120,Tyler Goodson,Tyler Goodson,DAL,BAL,2,2,10,20,0,flex
RB,424,00-0035250,Devin Singletary,Devin Singletary,NYG,TEN,2,2,9,20,0,flex
TE,425,00-0039489,Hayden Rucci,Hayden Rucci,LAC,BUF,2,8,4,17,0,flex
WR,426,00-0041489,Germie Bernard,Germie Bernard,PIT,CIN,2,9,6,20,0,flex
WR,427,00-0037291,Jalen Nailor,Jalen Nailor,LV,NO,2,9,6,20,0,flex
WR,428,00-0037664,Alec Pierce,Alec Pierce,IND,HOU,2,8,5,20,0,flex
WR,429,00-0039849,Marvin Harrison Jr.,Marvin Harrison Jr.,ARI,SF,2,7,6,20,0,flex
WR,430,00-0036407,Jerry Jeudy,Jerry Jeudy,CLE,CAR,2,6,6,20,0,flex
WR,431,00-0039342,Xavier Legette,Xavier Legette,CAR,CLE,2,5,5,20,0,flex
WR,432,00-0040870,Ja'Kobi Lane,Ja'Kobi Lane,BAL,DAL,2,3,5,20,0,flex
WR,433,00-0039146,Jayden Reed,Jayden Reed (O),GB,ATL,2,2,5,20,0,flex
WR,434,00-0031235,Odell Beckham Jr.,Odell Beckham Jr.,NYG,TEN,2,2,5,20,0,flex
WR,435,00-0041511,Omar Cooper Jr.,Omar Cooper Jr.,NYJ,DET,2,2,4,20,0,flex
QB,1,00-0034857,Josh Allen,Josh Allen,BUF,LAC,40,67,38,NA,0.4008688057501995,qb
QB,2,00-0037834,Brock Purdy,Brock Purdy,SF,ARI,28,51,34,NA,0.28051988132431893,qb
QB,3,00-0033873,Patrick Mahomes,Patrick Mahomes,KC,MIA,27,47,38,NA,0.2715697701441163,qb
QB,4,00-0034796,Lamar Jackson,Lamar Jackson,BAL,DAL,26,52,36,NA,0.2611431612774278,qb
QB,5,00-0033106,Jared Goff,Jared Goff,DET,NYJ,26,42,38,NA,0.2556882860141571,qb
QB,6,00-0040743,Tyler Shough,Tyler Shough,NO,LV,24,38,40,NA,0.23984648466271613,qb
QB,7,00-0036389,Jalen Hurts,Jalen Hurts,PHI,CHI,23,37,38,NA,0.23441036596594084,qb
QB,8,00-0036264,Jordan Love,Jordan Love,GB,ATL,20,30,38,NA,0.20190146050739097,qb
QB,9,00-0033077,Dak Prescott,Dak Prescott,DAL,BAL,19,41,36,NA,0.19355938773334191,qb
QB,10,00-0039163,C.J. Stroud,C.J. Stroud,HOU,IND,17,27,39,NA,0.1705679816419624,qb
QB,11,00-0039917,Michael Penix Jr.,Michael Penix Jr.,ATL,GB,17,26,34,NA,0.16893692401370447,qb
QB,12,00-0036355,Justin Herbert,Justin Herbert,LAC,BUF,15,36,36,NA,0.15254737116978614,qb
QB,13,00-0036971,Trevor Lawrence,Trevor Lawrence,JAX,NE,15,32,34,NA,0.14768961760966004,qb
QB,14,00-0039732,Bo Nix,Bo Nix,DEN,LA,14,26,36,NA,0.1418677286777387,qb
QB,15,00-0031503,Jameis Winston,Jameis Winston,NYG,TEN,14,24,34,NA,0.14036548192828363,qb
QB,16,00-0036442,Joe Burrow,Joe Burrow,CIN,PIT,14,24,37,NA,0.1384754410790031,qb
QB,17,00-0035710,Daniel Jones,Daniel Jones,IND,HOU,13,24,36,NA,0.13363429709125652,qb
QB,18,00-0034855,Baker Mayfield,Baker Mayfield,TB,MIN,12,24,37,NA,0.12493541003113708,qb
QB,19,00-0033537,Deshaun Watson,Deshaun Watson,CLE,CAR,11,26,34,NA,0.11384975706899245,qb
QB,20,00-0039150,Bryce Young,Bryce Young,CAR,CLE,11,23,38,NA,0.11384975706899245,qb
QB,21,00-0030565,Geno Smith,Geno Smith,NYJ,DET,11,26,36,NA,0.1090407280950304,qb
QB,22,00-0026498,Matthew Stafford,Matthew Stafford,LA,DEN,11,23,34,NA,0.1090407280950304,qb
QB,23,00-0039851,Drake Maye,Drake Maye,NE,JAX,10,24,37,NA,0.09778399542420008,qb
QB,24,00-0039910,Jayden Daniels,Jayden Daniels,WAS,SEA,9,20,35,NA,0.08891975922677113,qb
QB,25,00-0033119,Jacoby Brissett,Jacoby Brissett,ARI,SF,9,23,35,NA,0.08605612114347229,qb
QB,26,00-0029604,Kirk Cousins,Kirk Cousins,LV,NO,8,18,36,NA,0.08462537318270287,qb
QB,27,00-0034869,Sam Darnold,Sam Darnold,SEA,WAS,8,22,33,NA,0.08414861782831284,qb
QB,28,00-0023459,Aaron Rodgers,Aaron Rodgers,PIT,CIN,8,16,38,NA,0.08414861782831284,qb
QB,29,00-0040676,Cam Ward,Cam Ward,TEN,NYG,7,14,34,NA,0.06704185101723571,qb
QB,30,00-0035228,Kyler Murray,Kyler Murray,MIN,TB,6,19,33,NA,0.06231082792763581,qb
QB,31,00-0039918,Caleb Williams,Caleb Williams,CHI,PHI,5,16,37,NA,0.04621595977655292,qb
QB,32,00-0038128,Malik Willis,Malik Willis,MIA,KC,4,17,34,NA,0.04162037598801674,qb
QB,33,00-0032268,Marcus Mariota,Marcus Mariota,WAS,SEA,4,14,35,NA,0.03662037598801674,qb
QB,34,00-0035704,Drew Lock,Drew Lock,SEA,WAS,4,14,34,NA,0.03662037598801674,qb
QB,35,00-0038416,Tyson Bagent,Tyson Bagent,CHI,PHI,4,14,32,NA,0.03662037598801674,qb
QB,36,00-0039107,Stetson Bennett,Stetson Bennett,LA,DEN,4,14,33,NA,0.03662037598801674,qb
QB,37,00-0027973,Andy Dalton,Andy Dalton,PHI,CHI,4,14,33,NA,0.03662037598801674,qb
QB,38,00-0028118,Tyrod Taylor,Tyrod Taylor,GB,ATL,4,14,35,NA,0.03662037598801674,qb
QB,39,00-0033949,Joshua Dobbs,Joshua Dobbs,DET,NYJ,4,14,32,NA,0.03662037598801674,qb
QB,40,00-0034577,Kyle Allen,Kyle Allen,BUF,LAC,4,14,34,NA,0.03662037598801674,qb
QB,41,00-0035264,Jarrett Stidham,Jarrett Stidham,DEN,LA,4,14,33,NA,0.03662037598801674,qb
QB,42,00-0035993,Tyler Huntley,Tyler Huntley,BAL,DAL,4,14,32,NA,0.03662037598801674,qb
QB,43,00-0036212,Tua Tagovailoa,Tua Tagovailoa,ATL,GB,4,14,34,NA,0.03662037598801674,qb
QB,44,00-0036879,Sam Ehlinger,Sam Ehlinger,DEN,LA,4,14,33,NA,0.03662037598801674,qb
QB,45,00-0036898,Davis Mills,Davis Mills,HOU,IND,4,14,36,NA,0.03662037598801674,qb
QB,46,00-0036945,Justin Fields,Justin Fields,KC,MIA,4,14,34,NA,0.03662037598801674,qb
QB,47,00-0036972,Mac Jones,Mac Jones,SF,ARI,4,14,33,NA,0.03662037598801674,qb
QB,48,00-0037012,Trey Lance,Trey Lance,LAC,BUF,4,14,32,NA,0.03662037598801674,qb
QB,49,00-0037013,Zach Wilson,Zach Wilson,NO,LV,4,14,33,NA,0.03662037598801674,qb
QB,50,00-0037077,Sam Howell,Sam Howell,DAL,BAL,4,14,32,NA,0.03662037598801674,qb
QB,51,00-0038400,Tanner McKee,Tanner McKee,PHI,CHI,4,14,33,NA,0.03662037598801674,qb
QB,52,00-0038476,Tommy DeVito,Tommy DeVito,NE,JAX,4,14,33,NA,0.03662037598801674,qb
QB,53,00-0039376,Spencer Rattler,Spencer Rattler,NO,LV,4,14,35,NA,0.03662037598801674,qb
QB,54,00-0039923,J.J. McCarthy,J.J. McCarthy,MIN,TB,4,14,34,NA,0.03662037598801674,qb
QB,55,00-0040203,Will Howard,Will Howard,PIT,CIN,4,14,31,NA,0.03662037598801674,qb
QB,56,00-0040206,Riley Leonard,Riley Leonard,IND,HOU,4,14,33,NA,0.03662037598801674,qb
QB,57,00-0040234,Quinn Ewers,Quinn Ewers,JAX,NE,4,14,33,NA,0.03662037598801674,qb
QB,58,00-0040589,Kurtis Rourke,Kurtis Rourke,SF,ARI,4,14,32,NA,0.03662037598801674,qb
QB,59,00-0040668,Shedeur Sanders,Shedeur Sanders,CLE,CAR,4,14,34,NA,0.03662037598801674,qb
QB,60,00-0040673,Jalen Milroe,Jalen Milroe,SEA,WAS,4,14,33,NA,0.03662037598801674,qb
QB,61,00-0040891,Cole Payton,Cole Payton,PHI,CHI,4,14,33,NA,0.03662037598801674,qb
