player_id,posteam,defteam,game_id,rolling_epa_per_opp,wt_target_share,wt_air_yards_share,wt_air_yards_per_target,prior_epa_per_opp,baseline_epa_per_opp,is_cold_start,draft_tier,player_name,form_residual,wt_team_total_plays,wt_snap_share,games_played_so_far,def_used_fallback,def_short_pass_epa_adj,def_deep_pass_epa_adj,season,week,report_status,practice_status
00-0037261,BUF,CIN,2025_14_CIN_BUF,-0.38712419850084256,0.19678120828869616,0.09462809418100879,3.1053878115409828,0.4417583134297296,0.4417583134297296,FALSE,r4_5,Khalil Shakir,-0.8288825119305722,68.03319452426013,0.5860373183502674,12,FALSE,-0.5935323692602608,0.2500763883897163,2025,14,NA,NA
00-0037291,MIN,WAS,2025_14_WAS_MIN,-1.1088668123359595,0.0649165936591028,0.19512386788988062,21.751312254127896,0.5848363332046459,0.5848363332046459,FALSE,r6_udfa,Jalen Nailor,-1.6937031455406055,55.778395331161605,0.5932831182663415,12,FALSE,-0.08291037943936026,0.6710979877507451,2025,14,NA,NA
00-0037545,SEA,ATL,2025_14_SEA_ATL,-0.3045608005329447,0.1275403402426344,0.18679812306122706,10.838498742329502,-0.14472827050316286,-0.14472827050316286,FALSE,udfa,Rashid Shaheed,-0.15983253002978184,63.9118761807338,0.5361055207362555,12,FALSE,-0.4410064721049118,0.6733277354056086,2025,14,NA,NA
00-0037614,NYJ,MIA,2025_14_MIA_NYJ,0.20209657963201744,0.15619473899012998,0.1111814536405121,5.524887807969841,0.0829176323549539,0.0829176323549539,FALSE,r2_3,John Metchie III,0.11917894727706353,61.87544259084804,0.6660168593197288,12,FALSE,-0.15496687154632155,0.5675617926278379,2025,14,NA,NA
00-0037664,IND,JAX,2025_14_IND_JAX,0.7104130081647158,0.16288558789193885,0.44576776971288884,18.214089170623673,0.5841026942893033,0.5841026942893033,FALSE,r2_3,Alec Pierce,0.12631031387541247,62.90992296686277,0.928659006607896,12,FALSE,-0.34674485043919423,-0.38044892281171694,2025,14,NA,NA
00-0037741,PHI,LAC,2025_14_PHI_LAC,9.951695471845795e-4,0.06037607137733305,0.10415152908858386,12.885265397218088,-0.034677771626487226,-0.034677771626487226,FALSE,r1,Jahan Dotson,0.035672941173671806,64.96153398912334,0.4948084114590794,12,FALSE,-0.11319925340815756,-0.9508964092456224,2025,14,NA,Full Participation in Practice
00-0038104,KC,HOU,2025_14_HOU_KC,0.5941003922165794,0.04632841888357107,0.21735288835569455,39.332202750003795,NA,0.1588953444012063,TRUE,r2_3,Tyquan Thornton,0.43520504781537306,74.25554239181909,0.21705155709400875,12,FALSE,-0.5718630442389313,0.18861733772734868,2025,14,NA,NA
00-0038124,GB,CHI,2025_14_CHI_GB,0.5101212024100281,0.22502457121544686,0.42521755197666933,19.904485843472767,0.36692522280514805,0.36692522280514805,FALSE,r2_3,Christian Watson,0.14319597960488006,63.071529085022945,0.7470833410574319,12,FALSE,-0.12485482468316898,0.2620388720021966,2025,14,NA,NA
00-0038543,SEA,ATL,2025_14_SEA_ATL,0.5752584735033741,0.30318146462685125,0.4119154622989499,9.819408515682916,0.351045945606368,0.351045945606368,FALSE,r1,Jaxon Smith-Njigba,0.22421252789700613,63.9118761807338,0.7277217672962227,12,FALSE,-0.4410064721049118,0.6733277354056086,2025,14,NA,Full Participation in Practice
00-0038544,LAC,PHI,2025_14_PHI_LAC,0.20962045671158358,0.15163055949831156,0.16712710308299897,8.395494350734744,0.3836053006767155,0.3836053006767155,FALSE,r1,Quentin Johnston,-0.17398484396513192,65.07349409569905,0.7324800086285203,12,FALSE,-0.48400078380983236,-0.03858148040930057,2025,14,NA,Full Participation in Practice
