position,player_id,player_name,posteam,defteam,week,report_status,pred_vol,p_start,p_boom,p_start_base,p_boom_base,pred_vol_base,n_base_weeks,opp_def_adj_now,implied_total_now,team_spread_now,opp_def_adj_base,implied_total_base,team_spread_base,delta_start_pp,delta_boom_pp,delta_vol,injury_flag
WR,00-0033908,Cooper Kupp,SEA,IND,15,NA,6.1772245514454065,0.18845710589086268,0.08536511638044289,0.2169658231325967,0.09356988561006035,6.005317489713924,2,0.08595841059851961,NA,NA,0.18636950528760016,NA,NA,-2.8508717241734036,-0.8204769229617465,0.17190706173148218,FALSE
QB,00-0033077,Dak Prescott,DAL,MIN,15,NA,1.7752746574787024,0.264,0.1062690379143303,0.2915,0.1357359351008171,1.9270402434725906,2,-0.13033554199949787,NA,NA,0.07362897290051881,NA,NA,-2.749999999999997,-2.9466897186486802,-0.15176558599388823,FALSE
QB,00-0023459,Aaron Rodgers,PIT,MIA,15,NA,1.3173362299348084,0.1475,0.04365278716613726,0.1745,0.06290450363842674,1.245179108675384,2,0.10038766752081474,NA,NA,0.05727659465639556,NA,NA,-2.6999999999999997,-1.925171647228948,0.0721571212594243,FALSE
RB,00-0037197,Isiah Pacheco,KC,LAC,15,NA,13.22855525622741,0.214,0.08670124305674938,0.24035840271020706,0.10956574096869066,14.121428048815094,2,-0.23050628148215088,NA,NA,-0.15120156170873783,NA,NA,-2.6358402710207063,-2.286449791194128,-0.8928727925876849,FALSE
RB,00-0040236,Kyle Monangai,CHI,CLE,15,NA,14.05532745036905,0.2545,0.11808535856046572,0.28079110309499633,0.12684146427291373,14.90367848107481,2,-0.08746321891553563,NA,NA,-0.18446910946999634,NA,NA,-2.629110309499633,-0.8756105712448017,-0.8483510307057589,FALSE
WR,00-0030279,Keenan Allen,LAC,KC,15,NA,6.129681205562834,0.20255226203113325,0.08365780413308695,0.17718052140629462,0.07445379651224107,5.935639947874795,2,-0.08394971033332387,NA,NA,-0.20460089444259782,NA,NA,2.537174062483863,0.9204007620845875,0.19404125768803926,FALSE
WR,00-0039893,Brian Thomas Jr.,JAX,NYJ,15,NA,6.590226168728481,0.286203441717819,0.13566487791798512,0.3115299599408283,0.1465569849784885,6.910767221350388,2,-0.003970392899669356,NA,NA,0.11856036556127834,NA,NA,-2.5326518223009353,-1.089210706050339,-0.32054105262190635,FALSE
RB,00-0039032,Tyjae Spears,TEN,SF,15,NA,11.864151112596096,0.1855,0.07943778816327567,0.16023403016557985,0.06315066740628977,11.21958663971709,2,0.01650486360086345,NA,NA,-0.11361226792903004,NA,NA,2.5265969834420146,1.6287120756985893,0.6445644728790061,FALSE
TE,00-0034383,Dalton Schultz,HOU,ARI,15,NA,6.499688433695884,0.38516036804757103,0.1648397137632105,0.4092532880393308,0.1840812005094503,6.652570239256652,2,0.27331409630102793,NA,NA,0.17518963631588957,NA,NA,-2.4092919991759776,-1.9241486746239795,-0.15288180556076814,FALSE
WR,00-0033921,Chris Godwin Jr.,TB,ATL,15,NA,6.443401484538641,0.24350463762998345,0.1083551940476092,0.21999866387260714,0.09137711888196734,6.1683436313173505,2,0.21637535694809007,NA,NA,-0.10992521189162932,NA,NA,2.3505973757376313,1.6978075165641857,0.2750578532212904,FALSE
WR,00-0036309,Darnell Mooney,ATL,TB,15,NA,6.2113202819433155,0.25517513673067155,0.1094617506546986,0.23172358428732742,0.11130417477807092,6.197864706799521,2,0.024206702780063608,NA,NA,-0.1881071997101548,NA,NA,2.3451552443344124,-0.18424241233723215,0.013455575143794363,FALSE
