player_id,posteam,defteam,game_id,rolling_epa_per_opp,wt_carry_share,wt_target_share,prior_epa_per_opp,baseline_epa_per_opp,is_cold_start,draft_tier,player_name,form_residual,wt_team_total_plays,wt_snap_share,games_played_so_far,def_used_fallback,def_rush_epa_adj,def_short_pass_epa_adj,def_deep_pass_epa_adj,season,week,team_spread,implied_total,report_status,practice_status,own_q_int,own_practice_int,weeks_missed,return_from_absence,above_new_out_share,above_q_share,above_long_out_share,baseline_carry_share,baseline_target_share,baseline_snap_share,baseline_team_total_plays
00-0038794,DEN,LV,2025_14_DEN_LV,-0.4017893896173058,0.24883921822697333,0.12935056521062352,-0.08752273338819262,-0.08752273338819262,FALSE,udfa,Jaleel McLaughlin,-0.31426665622911326,64.94155020130405,0.14489795918367349,12,FALSE,-0.0511239579815544,0.8921873929749988,0,2025,14,NA,NA,NA,NA,0,3,0,0,0,0,0,0.33933933933933935,0.26732673267326734,0.281875,65.52941176470588
00-0038951,TB,NO,2025_14_NO_TB,-0.11500299515451325,0.4150157635209341,0.278035448356035,0.28302362434558836,0.28302362434558836,FALSE,udfa,Sean Tucker,-0.3980266195001016,66.96571174338241,0.3118137250771426,12,FALSE,-0.09604802268760015,0.08118121766306154,0,2025,14,NA,NA,NA,NA,0,3,1,1,0,0,0,0.19011406844106463,0.14634146341463414,0.0923529411764706,68.29411764705883
00-0039032,TEN,CLE,2025_14_TEN_CLE,-0.03430913715452059,0.2693428335477879,0.6223970770887507,-0.05332628858637538,-0.05332628858637538,FALSE,r2_3,Tyjae Spears,0.01901715143185479,64.30204202696075,0.4762469981344196,12,FALSE,-0.18084362889815037,0.34154147449994315,0.2936466887369579,2025,14,NA,NA,NA,NA,0,3,0,0,0,0,0,0.3514644351464435,0.4666666666666667,0.4275,66.3529411764706
00-0039040,MIA,NYJ,2025_14_MIA_NYJ,0.05340294793513153,0.7282828528960752,0.9427197243040688,0.04338740160307935,0.04338740160307935,FALSE,r2_3,De'Von Achane,0.01001554633205217,59.32123037306554,0.7985757380165527,12,FALSE,-0.00837679124569838,0.3926689119663654,0,2025,14,NA,NA,NA,NA,0,3,0,0,0,0,0,0.5314136125654451,0.6590909090909091,0.6241176470588236,68.29411764705883
00-0039139,DET,DAL,2025_14_DAL_DET,0.09092244650206646,0.6353358229407091,0.7290845788927123,0.15984713867611566,0.15984713867611566,FALSE,r1,Jahmyr Gibbs,-0.0689246921740492,65.52850192372186,0.6762634125460707,12,FALSE,-0.08965406731959126,-0.14379207030253252,-0.16752820909057334,2025,14,NA,NA,NA,NA,0,3,0,0,0,0,0,0.5219206680584552,0.5727272727272728,0.5529411764705883,67.70588235294117
00-0039165,SEA,ATL,2025_14_SEA_ATL,0.2023245159864152,0.3980414190141045,0.12484446474243922,-0.10012669197339792,-0.10012669197339792,FALSE,r2_3,Zach Charbonnet,0.3024512079598131,63.9118761807338,0.37051498109983294,12,FALSE,-0.02081956537743915,-0.18695628082051652,0.01276958887514101,2025,14,NA,NA,NA,NA,0,3,0,0,0,0,0,0.4192546583850932,0.4727272727272727,0.5270588235294118,66.41176470588235
00-0039361,TB,NO,2025_14_NO_TB,-0.03921510392175569,0.7645162339330167,0.6151053033379903,0.13634750536366969,0.13634750536366969,FALSE,r4_5,Bucky Irving,-0.17556260928542539,66.96571174338241,0.6487308491508827,12,FALSE,-0.09604802268760015,0.08118121766306154,0,2025,14,NA,NA,NA,Full Participation in Practice,0,2,0,0,0,0,0,0.516209476309227,0.4344262295081967,0.4441176470588235,68.29411764705883
00-0039391,LAC,PHI,2025_14_PHI_LAC,-0.08095548152305156,0.6737225620342032,0.802605745718181,-0.12781488045811076,-0.12781488045811076,FALSE,r6_udfa,Kimani Vidal,0.04685939893505921,65.07349409569905,0.728673044805951,12,FALSE,-0.1792851821214302,-0.4722810419600213,0.1925403245624857,2025,14,NA,NA,NA,NA,0,3,0,0,0,0,0,0.23369565217391305,0.2727272727272727,0.277,63.23529411764706
00-0039738,LA,ARI,2025_14_LA_ARI,0.08040267321362171,0.3846240564030119,0.09740790487056376,-0.10772193447513873,-0.10772193447513873,FALSE,r2_3,Blake Corum,0.18812460768876044,59.255112651062305,0.33129351967791354,12,FALSE,-0.07681243963931823,-0.4503228136398221,0.36397620859067387,2025,14,NA,NA,NA,NA,0,3,0,0,0,0,0,0.17791411042944785,0.17391304347826086,0.11176470588235295,64.47058823529412
00-0039874,MIA,NYJ,2025_14_MIA_NYJ,-0.10503506902434807,0.12819611164023534,0.01927195700780606,-0.31324386742045185,-0.31324386742045185,FALSE,r4_5,Jaylen Wright,0.20820879839610376,59.32123037306554,0.11757868890308253,12,FALSE,-0.00837679124569838,0.3926689119663654,0,2025,14,NA,NA,NA,NA,0,3,3,1,0,0,0,0.22666666666666666,0.06451612903225806,0.17,68.29411764705883
