stratum,bin,n,pred,emp,delta,method,threshold,position
exante_high,"[0.2,0.3)",1092,0.2466796776800091,0.24267399267399267,-0.004005685006016418,iso,20+,RB_3C
exante_high,"[0.3,0.4)",588,0.33649948770967103,0.30272108843537415,-0.03377839927429688,iso,20+,RB_3C
exante_high,"[0.4,0.5)",63,0.4311704963318906,0.4126984126984127,-0.01847208363347791,iso,20+,RB_3C
exante_high,"[0.5,0.6)",72,0.5447039172557714,0.5138888888888888,-0.030815028366882546,iso,20+,RB_3C
exante_high,"[0.6,0.7)",9,0.6299709924156478,0.5555555555555556,-0.07441543686009222,iso,20+,RB_3C
exante_high,"[0.9,1]",1,1,1,0,iso,20+,RB_3C
exante_low,"[0,0.1)",1646,0.03853248893536924,0.03462940461725395,-0.0039030843181152852,strat_platt,20+,RB_3C
exante_low,"[0.1,0.2)",85,0.12432462056291685,0.11764705882352941,-0.006677561739387439,strat_platt,20+,RB_3C
exante_low,"[0.2,0.3)",4,0.2178952841605402,0.25,0.03210471583945981,strat_platt,20+,RB_3C
exante_low,"[0.3,0.4)",4,0.37016979242528697,0.25,-0.12016979242528697,strat_platt,20+,RB_3C
exante_mid,"[0,0.1)",2474,0.04738519585798125,0.0513338722716249,0.003948676413643652,strat_platt,20+,RB_3C
exante_mid,"[0.1,0.2)",473,0.13571487444180377,0.12896405919661733,-0.006750815245186448,strat_platt,20+,RB_3C
exante_mid,"[0.2,0.3)",75,0.23632039227480334,0.21333333333333335,-0.02298705894146999,strat_platt,20+,RB_3C
exante_mid,"[0.3,0.4)",7,0.33322811553160286,0.7142857142857143,0.38105759875411144,strat_platt,20+,RB_3C
exante_high,"[0,0.1)",1,0.09712299946234271,1,0.9028770005376573,strat_platt,20+,RB_3C
exante_high,"[0.1,0.2)",2026,0.17138067173281477,0.1934846989141165,0.022104027181301722,strat_platt,20+,RB_3C
exante_high,"[0.2,0.3)",2793,0.23880787742949425,0.22126745435016112,-0.017540423079333123,strat_platt,20+,RB_3C
exante_high,"[0.3,0.4)",296,0.3294509789672224,0.38513513513513514,0.055684156167912724,strat_platt,20+,RB_3C
exante_high,"[0.4,0.5)",15,0.41823962489020394,0.5333333333333333,0.11509370844312938,strat_platt,20+,RB_3C
exante_low,"[0,0.1)",1739,0.04449833370088721,0.039677975848188614,-0.004820357852698597,strat_iso,20+,RB_3C
exante_mid,"[0,0.1)",3029,0.0728015450208611,0.06899966985803896,-0.003801875162822141,strat_iso,20+,RB_3C
exante_high,"[0.1,0.2)",3306,0.1703269226312996,0.18784029038112524,0.017513367749825648,strat_iso,20+,RB_3C
exante_high,"[0.2,0.3)",1092,0.2466796776800091,0.24267399267399267,-0.004005685006016418,strat_iso,20+,RB_3C
exante_high,"[0.3,0.4)",588,0.33649948770967103,0.30272108843537415,-0.03377839927429688,strat_iso,20+,RB_3C
exante_high,"[0.4,0.5)",63,0.4311704963318906,0.4126984126984127,-0.01847208363347791,strat_iso,20+,RB_3C
exante_high,"[0.5,0.6)",72,0.5447039172557714,0.5138888888888888,-0.030815028366882546,strat_iso,20+,RB_3C
exante_high,"[0.6,0.7)",9,0.6299709924156478,0.5555555555555556,-0.07441543686009222,strat_iso,20+,RB_3C
exante_high,"[0.9,1]",1,1,1,0,strat_iso,20+,RB_3C
exante_low,"[0,0.1)",1472,0.0403147389327942,0.022418478260869564,-0.017896260671924635,platt_vol,20+,RB_3C
exante_low,"[0.1,0.2)",231,0.1332685246372571,0.11688311688311688,-0.016385407754140227,platt_vol,20+,RB_3C
exante_low,"[0.2,0.3)",29,0.23524447574708174,0.20689655172413793,-0.02834792402294381,platt_vol,20+,RB_3C
exante_low,"[0.3,0.4)",6,0.33822794934184014,0.3333333333333333,-0.004894616008506825,platt_vol,20+,RB_3C
exante_low,"[0.4,0.5)",1,0.46861737585183644,1,0.5313826241481636,platt_vol,20+,RB_3C
exante_mid,"[0,0.1)",2453,0.04759504399794517,0.038320423970648186,-0.009274620027296981,platt_vol,20+,RB_3C
exante_mid,"[0.1,0.2)",539,0.1302973187228088,0.19109461966604824,0.06079730094323943,platt_vol,20+,RB_3C
exante_mid,"[0.2,0.3)",35,0.2312162588847729,0.3142857142857143,0.08306945540094138,platt_vol,20+,RB_3C
exante_mid,"[0.3,0.4)",2,0.31902694312606383,0.5,0.18097305687393617,platt_vol,20+,RB_3C
exante_high,"[0,0.1)",1213,0.06914312455398354,0.08244023083264633,0.01329710627866279,platt_vol,20+,RB_3C
exante_high,"[0.1,0.2)",1994,0.14589268229994265,0.20060180541624875,0.0547091231163061,platt_vol,20+,RB_3C
