fold,pass_eff_leaves,pass_eff_lr,pass_eff_min_node,pass_eff_rounds,pass_eff_inner_rmse,db_vol_leaves,db_vol_lr,db_vol_min_node,db_vol_rounds,db_vol_inner_rmse,carry_vol_leaves,carry_vol_lr,carry_vol_min_node,carry_vol_rounds,carry_vol_inner_rmse,rush_dir_leaves,rush_dir_lr,rush_dir_min_node,rush_dir_rounds,rush_dir_inner_rmse
59,7,0.02,100,79,0.3307,7,0.05,20,42,8.6362,15,0.02,100,135,1.7248000000000001,31,0.02,20,36,2.4612
60,15,0.02,100,71,0.3162,7,0.05,20,24,8.6295,7,0.05,50,63,1.7425,15,0.05,10,42,2.4954
61,15,0.02,100,71,0.316,7,0.05,20,24,8.7069,7,0.05,50,64,1.7291,15,0.05,10,42,2.4122
62,15,0.05,50,31,0.3231,31,0.02,50,37,8.7778,15,0.05,100,59,1.7309,15,0.05,10,27,2.4253
63,15,0.02,100,150,0.3172,15,0.05,20,10,8.6033,7,0.02,100,160,1.7454,31,0.02,10,85,2.455
64,15,0.05,100,66,0.3184,63,0.02,10,12,8.4691,7,0.05,100,57,1.7377,15,0.02,10,126,2.4097
65,7,0.05,10,55,0.3235,7,0.05,10,10,8.3955,7,0.05,100,88,1.7849,7,0.02,10,100,2.385
66,7,0.05,10,54,0.3198,15,0.05,50,10,8.5285,15,0.05,100,70,1.7887,7,0.05,10,74,2.3762
67,15,0.05,100,44,0.3207,31,0.05,50,10,8.6032,7,0.02,100,222,1.7972,15,0.05,20,39,2.3749
68,15,0.05,100,77,0.3185,7,0.05,50,10,8.7154,15,0.05,100,83,1.7816,7,0.05,100,40,2.2786
69,15,0.05,100,74,0.3182,7,0.05,20,18,9.0215,7,0.02,50,165,1.7827,7,0.02,10,100,2.2434
70,31,0.05,50,46,0.3146,7,0.05,20,31,8.8226,7,0.02,50,195,1.7926,15,0.05,100,33,2.1528
71,15,0.05,100,44,0.3176,7,0.02,20,45,8.8192,7,0.02,50,195,1.8026,15,0.05,100,26,2.212
72,7,0.05,100,58,0.3178,7,0.02,50,53,8.8702,7,0.05,50,74,1.8206,15,0.05,100,36,2.1976
73,15,0.05,100,54,0.3161,7,0.05,10,29,8.9864,7,0.05,50,80,1.865,7,0.05,100,26,2.18
74,7,0.02,100,160,0.3202,7,0.05,100,16,9.1167,7,0.05,50,65,1.8632,15,0.05,100,19,2.1053
75,7,0.05,100,62,0.326,7,0.05,10,30,9.258,7,0.05,20,59,2.0833,15,0.02,100,50,2.0481
76,7,0.05,100,62,0.3228,7,0.05,20,31,9.2468,7,0.05,20,59,2.0804,15,0.02,100,50,2.0376
77,7,0.05,100,74,0.3194,7,0.05,20,41,9.1836,15,0.05,20,85,2.1255,7,0.05,100,37,2.119
78,7,0.05,100,78,0.3216,7,0.05,10,36,9.2956,15,0.05,20,75,2.1274,7,0.02,10,90,2.1528
79,15,0.02,10,91,0.3202,7,0.05,50,42,9.3696,15,0.05,20,65,2.1564,7,0.05,10,32,2.1231
80,7,0.02,10,165,0.3231,7,0.02,10,100,9.58,7,0.02,10,245,2.1464,7,0.02,10,64,2.1742
81,7,0.02,20,164,0.3261,7,0.02,10,100,9.4566,7,0.02,10,245,2.1995,7,0.02,10,65,2.2158
82,7,0.02,100,169,0.3289,7,0.05,100,46,9.4739,15,0.02,20,112,2.183,7,0.02,10,65,2.2282
83,63,0.05,10,19,0.3334,7,0.05,100,54,9.3909,7,0.05,20,74,2.2052,7,0.02,10,70,2.2144
84,15,0.02,100,96,0.3328,7,0.02,50,112,9.2167,7,0.05,10,80,2.1872,7,0.05,50,32,2.3196
85,7,0.05,10,57,0.3338,7,0.02,100,121,9.1655,7,0.05,10,95,2.2207,7,0.05,10,20,2.312
86,7,0.05,10,67,0.3365,7,0.02,100,122,9.0913,15,0.02,10,155,2.2195,7,0.05,10,20,2.3153
87,7,0.05,10,72,0.34,15,0.02,100,83,8.8708,7,0.05,20,66,2.2749,7,0.02,10,90,2.326
88,15,0.05,10,72,0.3448,31,0.05,50,29,8.9433,15,0.02,10,165,2.2688,7,0.02,10,90,2.3979
89,7,0.05,50,63,0.342,15,0.05,100,38,8.8824,7,0.05,20,90,2.2613,7,0.05,20,27,2.3407
90,15,0.05,10,29,0.3386,7,0.05,100,83,8.8325,15,0.02,20,167,2.2615,7,0.05,10,29,2.3425
91,15,0.05,10,29,0.3419,7,0.05,100,83,8.866,7,0.05,50,85,2.2368,7,0.05,20,49,2.3774
92,15,0.02,100,100,0.3418,31,0.02,100,190,8.9565,7,0.05,20,85,2.1916,7,0.02,10,110,2.3708
93,15,0.02,10,100,0.3418,7,0.02,100,147,8.9837,15,0.05,20,57,2.1934,7,0.02,10,98,2.3928
94,7,0.05,50,58,0.3347,7,0.05,10,74,8.9143,7,0.05,50,100,2.0487,7,0.05,10,73,2.3722
95,7,0.02,50,119,0.3386,7,0.05,50,56,8.8343,15,0.05,50,70,2.029,7,0.05,20,60,2.408
96,7,0.02,50,115,0.3372,7,0.05,50,56,8.8065,15,0.05,50,70,2.002,7,0.05,10,56,2.3595
97,7,0.05,100,64,0.3379,31,0.02,100,135,8.8983,15,0.02,10,169,1.9543,7,0.02,10,115,2.326
98,7,0.05,100,104,0.3321,7,0.05,100,54,8.8404,7,0.05,20,90,1.9331,7,0.02,10,114,2.3466
99,7,0.02,20,200,0.3288,15,0.05,50,49,8.7815,7,0.05,10,73,2.0211,7,0.05,10,35,2.4077
100,7,0.02,50,205,0.3301,31,0.05,20,25,8.7175,7,0.05,10,101,2.012,7,0.02,50,90,2.3691
101,7,0.02,50,207,0.3289,31,0.05,20,25,8.7062,7,0.05,10,101,2.028,7,0.02,50,90,2.3722
102,7,0.02,50,150,0.3244,31,0.05,50,24,8.7808,7,0.05,10,79,1.9902,7,0.05,10,54,2.3652
103,7,0.02,50,155,0.3199,7,0.05,50,62,8.7192,7,0.02,10,173,2.0128,7,0.02,20,83,2.3666
104,15,0.05,10,45,0.318,63,0.05,10,17,8.7613,7,0.05,10,84,1.9823,7,0.05,20,50,2.4097
105,7,0.05,10,70,0.3208,7,0.02,50,110,8.8322,15,0.02,10,170,2.0042,7,0.02,20,105,2.3687
106,7,0.05,10,70,0.3218,7,0.02,50,130,8.8874,15,0.02,10,130,2.0463,7,0.02,20,105,2.3495
107,7,0.05,10,87,0.3196,7,0.05,10,59,8.8015,7,0.05,10,111,2.0379,7,0.05,20,48,2.3588
108,7,0.02,50,183,0.3144,7,0.05,20,59,8.8481,15,0.02,10,177,2.0393,7,0.05,20,37,2.3588
109,7,0.02,10,205,0.3116,15,0.05,20,35,8.8107,7,0.02,10,241,2.0356,7,0.02,10,77,2.3351
110,7,0.05,20,79,0.3082,7,0.05,50,69,8.8349,7,0.05,20,161,2.0295,7,0.05,100,77,2.2959
111,7,0.05,20,79,0.3069,7,0.02,50,111,8.9147,7,0.05,20,189,2.0598,7,0.05,50,32,2.3424
112,7,0.02,10,270,0.3092,7,0.05,20,56,8.9745,7,0.02,20,238,2.1381,7,0.05,10,37,2.3809
113,7,0.02,50,219,0.3129,7,0.02,50,105,9.0224,7,0.05,100,195,2.1796,7,0.02,50,114,2.4359
114,7,0.05,10,73,0.3077,15,0.05,50,58,8.9576,15,0.05,100,143,2.1868,7,0.05,50,26,2.4213
115,7,0.02,10,254,0.3108,7,0.05,10,61,8.9702,15,0.02,20,170,2.2075,7,0.05,20,27,2.4651
116,7,0.02,10,215,0.3127,7,0.05,50,70,9.0696,31,0.02,20,238,2.1882,7,0.05,20,27,2.4632
117,7,0.02,10,200,0.3106,15,0.02,50,130,8.991,7,0.02,10,345,2.2132,7,0.02,10,90,2.4776
118,7,0.02,10,204,0.3093,7,0.05,100,77,8.9997,7,0.02,10,199,2.2241,15,0.02,20,47,2.5318
119,7,0.05,10,50,0.311,15,0.05,10,59,9.0455,15,0.05,20,145,2.2176,7,0.05,10,45,2.5022
120,7,0.02,10,230,0.3103,7,0.02,100,153,9.0452,7,0.05,10,88,2.2837,7,0.02,20,97,2.5482
121,7,0.02,10,234,0.309,7,0.02,100,153,9.0784,7,0.05,10,88,2.2724,7,0.02,50,64,2.5623
122,7,0.02,10,223,0.3105,7,0.05,50,105,8.9233,7,0.05,100,188,2.2842,15,0.05,10,20,2.5829
123,15,0.05,10,54,0.3093,7,0.05,50,60,8.9016,7,0.05,100,105,2.2793,15,0.05,50,28,2.5749
124,7,0.05,10,62,0.314,7,0.05,20,52,9.0066,7,0.05,100,147,2.2685,7,0.05,10,23,2.5375
