position,player_name,posteam,model_rank,ecr_rank,rank_gap,start_pct
WR,Tetairoa McMillan,CAR,27,17,-10,32
WR,Ladd McConkey,LAC,29,19,-10,30
WR,Chris Godwin Jr.,TB,47,37,-10,24
WR,Tory Horton,SEA,77,87,10,17
QB,Spencer Rattler,NO,43,52,9,27
QB,Davis Mills,HOU,60,51,-9,20
RB,Jadarian Price,SEA,19,28,9,31
RB,Mike Washington Jr.,LV,68,59,-9,13
RB,Demond Claiborne,MIN,84,75,-9,12
WR,DeVonta Smith,PHI,22,13,-9,35
WR,Carnell Tate,TEN,43,34,-9,25
WR,Khalil Shakir,BUF,54,45,-9,21
WR,Darnell Mooney,NYG,58,67,9,20
WR,Cyrus Allen,KC,124,115,-9,14
WR,John Metchie III,CAR,138,147,9,13
WR,Xavier Hutchinson,HOU,140,131,-9,13
QB,Jared Goff,DET,4,12,8,44
QB,Brock Purdy,SF,23,15,-8,32
QB,Tyler Huntley,BAL,37,45,8,28
QB,Tyrod Taylor,GB,40,48,8,27
QB,Tyson Bagent,CHI,42,50,8,27
RB,Rico Dowdle,PIT,21,29,8,28
RB,Kenny Gainwell,TB,39,31,-8,16
RB,Ty Johnson,BUF,75,67,-8,12
TE,Dalton Kincaid,BUF,6,14,8,34
TE,Erick All,CIN,36,44,8,22
TE,Dawson Knox,BUF,48,40,-8,20
TE,Jelani Woods,NYJ,104,112,8,16
WR,CeeDee Lamb,DAL,13,5,-8,41
WR,Courtland Sutton,DEN,24,32,8,34
WR,Terry McLaurin,WAS,30,22,-8,30
WR,Mike Evans,SF,33,25,-8,29
WR,Jordan Addison,MIN,36,44,8,29
WR,Troy Franklin,DEN,65,73,8,18
WR,Tez Johnson,TB,117,109,-8,14
QB,Lamar Jackson,BAL,10,3,-7,39
QB,Carson Beck,ARI,70,63,-7,17
RB,Omarion Hampton,LAC,1,8,7,59
RB,Ashton Jeanty,LV,14,7,-7,37
RB,Aaron Jones,MIN,27,34,7,22
RB,Quinshon Judkins,CLE,30,23,-7,20
RB,Chris Rodriguez Jr.,JAX,50,43,-7,15
TE,Kyle Pitts,ATL,12,5,-7,32
TE,Charlie Kolar,LAC,46,39,-7,21
WR,Garrett Wilson,NYJ,9,16,7,48
WR,Jerry Jeudy,CLE,64,57,-7,19
WR,Kayshon Boutte,HOU,75,68,-7,17
WR,Ashton Dulin,IND,110,103,-7,14
WR,Deion Burks,IND,157,150,-7,12
QB,Aidan O'Connell,LV,63,69,6,20
QB,Kyle Allen,BUF,66,60,-6,19
QB,Behren Morton,NE,74,80,6,17
QB,Athan Kaliakmanis,WAS,76,82,6,16
RB,Cam Skattebo,NYG,13,19,6,42
RB,Jordan James,SF,70,76,6,13
