page,wayback_ts,status,week_label,n_players
ppr-wr,20221224184406,ok,16,160
ppr-wr,20221231132744,ok,17,169
ppr-wr,20230107174523,ok,18,166
ppr-wr,20231128172025,ok,13,116
ppr-wr,20231207231709,ok,14,157
ppr-wr,20240918190401,ok,3,128
ppr-wr,20240920233435,ok,3,173
ppr-wr,20251022070305,ok,8,116
ppr-wr,20251107043055,ok,10,165
ppr-wr,20251207024708,ok,14,144
ppr-wr,20251213130653,ok,15,181
ppr-wr,20251217192329,ok,16,151
ppr-wr,20260106071157,not_weekly,19,0
qb,20160104181502,parse_fail,NA,0
qb,20160903102218,ok,1,34
qb,20160908041135,ok,1,35
qb,20160913210521,ok,2,33
qb,20161018192020,ok,7,31
qb,20161209052648,ok,14,36
qb,20161218044513,ok,15,33
qb,20170916112154,ok,2,47
qb,20170917043341,ok,2,37
qb,20171003233341,ok,5,30
qb,20171008034725,ok,5,31
qb,20171011000229,ok,6,32
qb,20171018002736,ok,7,33
qb,20171025004701,ok,8,27
qb,20171101201703,parse_fail,NA,0
qb,20171105011429,parse_fail,NA,0
qb,20171108211715,parse_fail,NA,0
qb,20171115220441,parse_fail,NA,0
qb,20171119135348,ok,11,35
qb,20171122222632,ok,12,36
qb,20171129230006,ok,13,35
qb,20171206232643,ok,14,34
qb,20171213235846,ok,15,35
qb,20171228001814,ok,17,38
qb,20180104003920,not_weekly,NA,0
qb,20180902084220,ok,1,39
qb,20180906050250,ok,1,45
qb,20180909084224,ok,1,43
qb,20180912152015,ok,2,39
qb,20180913051821,ok,2,40
qb,20180916080057,ok,2,58
qb,20180918232918,ok,3,38
qb,20180924015025,ok,3,58
qb,20180926030955,ok,4,49
qb,20180928070647,ok,4,42
qb,20180930035340,ok,4,37
qb,20181003083645,ok,5,32
qb,20181014082218,ok,6,33
qb,20181021081300,ok,7,39
qb,20181028083637,ok,8,32
qb,20181031001920,ok,9,30
qb,20181104101039,ok,9,30
qb,20181106230430,ok,10,31
qb,20181107192151,ok,10,32
qb,20181108191503,ok,10,34
qb,20181110200207,ok,10,33
qb,20181111085921,ok,10,34
qb,20181113225216,ok,11,30
qb,20181116012721,ok,11,33
qb,20181118073019,ok,11,32
qb,20181121002646,ok,12,38
qb,20181123072655,ok,12,38
qb,20181125081758,ok,12,37
qb,20181128010145,ok,13,40
qb,20181129113541,ok,13,42
qb,20181201123210,ok,13,42
qb,20181202081517,ok,13,40
qb,20181205015714,ok,14,38
qb,20181208172632,ok,14,39
qb,20181209085320,ok,14,40
qb,20181212020234,ok,15,34
qb,20181213083719,ok,15,44
qb,20181216074336,ok,15,44
qb,20181218221200,ok,16,34
qb,20181219023148,ok,16,36
qb,20181220023604,ok,16,37
qb,20181223083542,ok,16,41
qb,20181224181736,ok,16,39
qb,20181226025157,ok,17,61
qb,20181227050034,ok,17,37
qb,20181230064100,ok,17,41
qb,20190102031300,not_weekly,NA,0
qb,20190104035803,not_weekly,NA,0
qb,20190106073709,not_weekly,NA,0
qb,20190902051427,ok,1,33
qb,20190904063811,ok,1,37
